Date,Open,High,Low,Close,Volume
2018-02-28,1.9,2,1.5,1.86,4600363
2018-03-31,1.78,1.9,1.4,1.46,2605504
2018-04-30,1.46,1.68,1.24,1.44,1944803
2018-05-31,1.44,1.64,1.26,1.44,2974350
2018-06-30,1.42,1.48,0.94,1.18,2251555
2018-07-31,1.14,1.6,0.96,1.5,4377975
2018-08-31,1.46,1.52,1.02,1.16,3241048
2018-09-30,1,1.16,0.88,0.96,2621426
2018-10-31,0.76,1.02,0.72,0.84,1773975
2018-11-30,0.86,0.94,0.66,0.82,1168675
2018-12-31,0.84,0.96,0.64,0.78,603663
2019-01-31,0.76,0.9,0.66,0.8,1004150
2019-02-28,0.82,1.14,0.72,0.92,2132425
2019-03-31,0.72,1.1,0.64,0.86,3245501
2019-04-30,0.9,0.98,0.8,0.8,957538
2019-05-31,0.58,0.86,0.58,0.74,1391350
2019-06-30,0.64,0.78,0.48,0.76,1215775
2019-07-31,0.72,0.8,0.62,0.7,1565850
2019-08-31,0.68,0.7,0.5,0.64,1043579
2019-09-30,0.52,0.78,0.44,0.7,749375
2019-10-31,0.72,0.82,0.56,0.7,770738
2019-11-30,0.7,0.72,0.5,0.62,738750
2019-12-31,0.6,0.68,0.5,0.66,814325
2020-01-31,0.64,0.72,0.46,0.62,1449975
2020-02-29,0.58,0.64,0.4,0.62,971975
2020-03-31,0.62,0.62,0.38,0.56,1841775
2020-04-30,0.54,0.56,0.38,0.52,495925
2020-05-31,0.52,0.6,0.2,0.3,7407738
2020-06-30,0.28,0.36,0.2,0.3,1969126
2020-07-31,0.3,0.38,0.231,0.34,2902435
2020-08-31,0.325,0.38,0.26,0.3,3425325
2020-09-30,0.26,0.33,0.205,0.305,7410062
2020-10-31,0.23,0.26,0.218,0.245,845700
2020-11-30,0.212,0.295,0.14,0.237,6321837
2020-12-31,0.226,0.25,0.21,0.246,1976650
2021-01-31,0.23,0.495,0.217,0.425,17694049
2021-02-28,0.425,1.36,0.41,1.12,34769951
2021-03-31,1.12,1.18,0.66,0.71,4895875
2021-04-30,0.72,0.85,0.56,0.68,563600
2021-05-31,0.6,0.8,0.495,0.56,1114862
2021-06-30,0.55,0.86,0.5,0.74,3331162
2021-07-31,0.74,0.97,0.65,0.75,2314250
2021-08-31,0.75,0.77,0.6,0.7,691725
2021-09-30,0.7,0.8,0.53,0.62,13457775
2021-10-31,0.55,0.63,0.48,0.58,5121350
2021-11-30,0.58,0.74,0.42,0.68,2519125
2021-12-31,0.68,0.79,0.455,0.63,1671868
2022-01-31,0.64,0.64,0.435,0.49,866112
2022-02-28,0.49,0.61,0.45,0.6,1205225
2022-03-31,0.464,0.6,0.414,0.52,787124
2022-04-30,0.52,0.58,0.4,0.47,709239
2022-05-31,0.47,0.48,0.4,0.415,316837
