Date,Open,High,Low,Close,Volume
2004-11-30,14.671,16.316,14.671,15.808,192629834
2004-12-31,15.62,18.023,15.556,17.584,57695777
2005-01-31,17.708,18.147,16.316,16.761,41162546
2005-02-28,16.761,18.147,16.503,17.708,48257898
2005-03-31,17.521,18.084,16.567,17.584,45912479
2005-04-30,17.388,17.521,15.87,15.94,21703322
2005-05-31,16.064,17.2,16.064,16.761,25437276
2005-06-30,16.824,17.584,16.567,17.138,32255030
2005-07-31,17.075,17.896,16.63,17.646,30289163
2005-08-31,17.584,19.191,17.584,18.864,25038354
2005-09-30,18.864,22.201,18.6,20.626,43828687
2005-10-31,20.758,20.827,17.75,18.203,41002657
2005-11-30,18.6,19.581,17.68,18.334,50145062
2005-12-31,18.334,19.519,18.078,18.989,44820937
2006-01-31,18.794,21.74,18.663,20.696,48294786
2006-02-28,20.626,23.251,20.431,22.659,25941750
2006-03-31,22.722,23.509,21.288,22.722,29638201
2006-04-30,22.597,26.984,22.333,25.278,27690578
2006-05-31,25.083,26.002,21.942,22.792,41804748
2006-06-30,23.05,24.756,20.696,24.234,45270129
2006-07-31,23.968,27.576,23.704,27.305,26458097
2006-08-31,27.305,27.443,24.094,24.833,26519448
2006-09-30,24.846,26.637,24.108,24.435,24299866
2006-10-31,24.698,26.775,23.698,25.598,30970894
2006-11-30,25.43,29.066,25.368,28.676,70702034
2006-12-31,28.697,32.923,28.314,31.455,36970289
2007-01-31,31.12,33.23,29.456,33.132,48963367
2007-02-28,33.132,33.132,29.651,29.783,49984992
2007-03-31,30.118,32.799,28.453,32.276,50017874
2007-04-30,31.461,34.17,31.204,34.031,33892782
2007-05-31,33.801,36.809,32.875,35.64,31797035
2007-06-30,35.507,37.478,34.302,36.746,28344974
2007-07-31,36.642,40.368,35.674,40.194,31027332
2007-08-31,38.426,39.344,32.018,36.552,37871841
2007-09-30,36.14,38.829,33.856,37.603,32596735
2007-10-31,37.471,38.864,36.106,37.812,46641900
2007-11-30,37.471,38.013,33.856,34.129,50811050
2007-12-31,34.949,37.944,33.724,35.834,39040918
2008-01-31,35.493,35.904,26.307,30.452,78722008
2008-02-29,30.654,32.192,27.73,28.613,51002467
2008-03-31,28.091,31.239,26.454,30.654,49682837
2008-04-30,29.985,32.276,29.261,31.337,40999218
2008-05-31,31.67,35.222,31.67,34.302,50201406
2008-06-30,34.268,34.881,30.32,31.246,48701856
2008-07-31,31.002,35.765,29.086,35.765,65978322
2008-08-31,35.188,35.597,32.387,34.122,47692510
2008-09-30,33.431,35.235,27.854,30.221,65037820
2008-10-31,30.43,31.684,15.843,21.587,142499960
2008-11-30,21.587,23.503,19.046,22.283,70786033
2008-12-31,22.066,26.531,20.681,24.721,67472900
2009-01-31,25.702,26.098,19.122,19.359,90200363
2009-02-28,19.359,19.359,12.882,13.362,168884620
2009-03-31,13.216,17.131,13.015,14.916,148810163
2009-04-30,15.146,19.505,14.547,18.711,143259753
2009-05-31,19.08,20.222,17.168,17.409,86292645
